id;event_name;event_description;event_color;event_type;event_start;event_end;event_repeat;event_location
1;Tuna integrated deposit;holistic SAS;BLUE;INTERVIEW;2024-03-04T22:10:33;2024-03-05T03:31:25;WEEKLY;Awesome Fresh USB
2;Mouse high-level architectures;monetize;BLUE;INTERVIEW;2024-03-05T11:54:35;2024-03-04T22:32:08;WEEKLY;Dollar
3;Triple-buffered;Ball;RED;AC;2024-03-04T22:34:05;2024-03-05T06:59:42;WEEKLY;hack portals Ergonomic
4;Louisiana quantify;empowering;YELLOW;NORMAL;2024-03-04T19:26:48;2024-03-04T20:21:41;NA;RSS
5;Card Bedfordshire;Avon Metal;BLUE;INTERVIEW;2024-03-05T06:35:39;2024-03-05T13:26:45;DAILY;Down-sized Operations
6;auxiliary Direct mint;transform PCI Cuban;ORANGE;AC;2024-03-05T01:53:35;2024-03-05T04:34:05;DAILY;up modular
7;function;Account Organic Direct;RED;NORMAL;2024-03-05T06:59:35;2024-03-05T17:43:31;MONTHLY;Bedfordshire Music
8;interactive invoice;Rubber;RED;AC;2024-03-05T16:55:49;2024-03-05T08:24:05;DAILY;Delaware
9;Georgia;Account Switchable;ORANGE;INTERVIEW;2024-03-05T18:05:47;2024-03-05T09:07:48;YEARLY;PCI e-enable Principal
10;architecture;deposit;OPTIONAL;AC;2024-03-04T22:28:06;2024-03-05T17:43:30;MONTHLY;Borders
