id;role;location;salary;duration;industry;about;job_description;minimum_qualification;application_deadline
1;invoice e-commerce;quantifying;66259;11138;sky Tala;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T13:55:42
2;Planner Dynamic;Missouri connecting;32023;21395;deposit Cross-group;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T10:04:03
3;hack synthesize;Metal Cotton;19936;74904;Sausages static;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-04T20:11:32
4;Wooden;Soft Sleek;66102;35585;matrix;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T18:39:19
5;Turnpike back-end;tangible Wooden Handcrafted;46298;58811;Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T05:41:53
6;Small leading-edge global;bypass orchid Berkshire;57032;63735;Mountains bus website;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T14:02:50
7;Mexico Generic;Auto Korea;64443;81224;Supervisor Synergized Mission;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T06:11:10
8;bluetooth deposit;grey Philippine Exclusive;29304;82209;Checking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T01:58:52
9;Ringgit overriding strategic;Manor ADP firewall;94732;64802;Rial web-readiness Global;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-05T09:23:08
10;payment Soft indigo;Automotive;67410;20801;e-tailers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2024-03-04T19:32:38
